"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2023-12-24","1592.27","1670.27","1585.49","1587.53","0.97 %","303,505,700.50","-"
"OTHERS","2023-12-21","1595.91","1629.98","1571.11","1572.21","-1.45 %","239,228,436.00","-"
"OTHERS","2023-12-20","1590.88","1607.93","1567.04","1595.4","0.99 %","187,456,735.00","-"
"OTHERS","2023-12-19","1565.64","1587.16","1548.06","1579.69","0.91 %","128,254,725.60","-"
"OTHERS","2023-12-18","1540.22","1587.22","1534.32","1565.4","1.66 %","199,572,945.60","-"
"OTHERS","2023-12-17","1527.78","1546.34","1477.72","1539.87","2.08 %","162,256,302.40","-"
"OTHERS","2023-12-14","1486.18","1524.41","1475.34","1508.53","1.52 %","145,045,876.20","-"
"OTHERS","2023-12-13","1481","1516.35","1479.23","1486","0.16 %","103,032,780.90","-"
"OTHERS","2023-12-12","1451.41","1488.55","1431.18","1481","2.70 %","128,206,047.50","-"
"OTHERS","2023-12-11","1476.24","1480.84","1422.38","1442.04","-1.23 %","88,194,698.60","-"
"OTHERS","2023-12-10","1406.59","1461.93","1406.59","1459.99","4.51 %","8,567,325.30","-"
"OTHERS","2023-12-07","1395.24","1405.67","1386.03","1396.95","0.12 %","28,994,887.70","-"
"OTHERS","2023-12-06","1388.58","1396.12","1385.56","1395.23","0.48 %","25,078,717.00","-"
"OTHERS","2023-12-05","1395.56","1416.92","1388.49","1388.57","-0.50 %","19,443,220.00","-"
"OTHERS","2023-12-04","1404.39","1424.75","1392.33","1395.56","-0.63 %","29,589,299.10","-"
"OTHERS","2023-12-03","1411.96","1435.3","1392.23","1404.38","-0.54 %","16,455,679.80","-"
"OTHERS","2023-11-30","1419.73","1419.72","1405.77","1411.96","-0.55 %","23,559,976.20","-"
"OTHERS","2023-11-29","1417.6","1445.84","1414.87","1419.72","0.17 %","34,409,981.60","-"
"OTHERS","2023-11-28","1420.05","1444.73","1408.67","1417.33","-0.19 %","34,344,974.60","-"
"OTHERS","2023-11-27","1421.89","1455.09","1415.55","1420.04","-0.13 %","31,007,685.70","-"
"OTHERS","2023-11-26","1396","1426.02","1392.7","1421.89","1.86 %","37,583,791.60","-"
"OTHERS","2023-11-23","1397.45","1403.56","1376.07","1395.99","-0.10 %","23,108,831.50","-"
"OTHERS","2023-11-22","1372.11","1398.48","1365.89","1397.45","1.85 %","13,808,294.60","-"
"OTHERS","2023-11-21","1392.82","1405.01","1368.34","1372.1","-1.49 %","16,362,477.70","-"
"OTHERS","2023-11-20","1394.75","1412.4","1385.24","1392.82","-0.14 %","19,664,704.50","-"
"OTHERS","2023-11-09","1416.84","1423.29","1388.95","1394.75","-1.56 %","32,750,922.60","-"
"OTHERS","2023-11-08","1406.51","1416.99","1392.05","1416.83","0.73 %","19,121,883.50","-"
"OTHERS","2023-11-07","1388.18","1407.27","1387.29","1406.51","1.32 %","21,266,634.90","-"
"OTHERS","2023-11-06","1361.21","1414.85","1361.2","1388.18","1.98 %","28,126,671.10","-"
"OTHERS","2023-11-05","1371.5","1371.56","1351.44","1361.2","-0.77 %","28,067,715.80","-"
"OTHERS","2023-11-02","1381.08","1383.06","1366.79","1371.73","-0.68 %","14,302,699.30","-"
"OTHERS","2023-11-01","1384.23","1392.04","1375.52","1381.08","-0.23 %","16,827,314.70","-"
"OTHERS","2023-10-31","1387.9","1405.75","1380.86","1384.22","-0.27 %","11,712,859.50","-"
"OTHERS","2023-10-30","1385.96","1392.29","1373.24","1387.9","0.14 %","10,634,211.50","-"
"OTHERS","2023-10-29","1399.64","1413.2","1377.66","1385.96","-0.98 %","12,552,396.70","-"
"OTHERS","2023-10-19","1399.25","1408.69","1383.57","1399.63","0.03 %","22,826,451.20","-"
"OTHERS","2023-10-18","1374.44","1401.92","1374.43","1399.25","1.81 %","14,981,687.90","-"
"OTHERS","2023-10-17","1363.31","1391.38","1363.04","1374.43","0.82 %","19,418,892.60","-"
"OTHERS","2023-10-16","1373.57","1378.6","1363.3","1363.3","-0.75 %","23,838,822.30","-"
"OTHERS","2023-10-12","1383.01","1403.8","1372.6","1373.56","-0.68 %","34,083,318.50","-"
"OTHERS","2023-10-11","1378.96","1396.01","1374.61","1383","0.29 %","21,054,063.70","-"
"OTHERS","2023-10-10","1389.22","1414.12","1374.53","1378.96","-0.74 %","22,795,322.00","-"
"OTHERS","2023-10-09","1401.2","1406.58","1383.87","1389.21","-0.85 %","27,605,796.60","-"
"OTHERS","2023-10-08","1451.26","1451.25","1397.96","1401.19","-1.61 %","33,677,616.60","-"
"OTHERS","2023-10-05","1429.2","1447.38","1424.13","1424.13","-0.35 %","19,434,334.50","-"
"OTHERS","2023-10-04","1424.42","1445.17","1424.25","1429.2","0.34 %","21,272,370.00","-"
"OTHERS","2023-10-03","1439.57","1450.7","1422.64","1424.42","-1.05 %","19,972,683.50","-"
"OTHERS","2023-10-02","1433.73","1461.09","1422.71","1439.57","0.41 %","26,484,618.70","-"
"OTHERS","2023-10-01","1456.19","1456.45","1427.35","1433.72","-1.54 %","28,814,277.60","-"
"OTHERS","2023-09-27","1473.86","1483.65","1450.46","1456.18","-1.20 %","30,601,458.10","-"
