Time,Open,High,Low,Close,Volume,Log_Return
2019-11-14,9667.25,9668.0,9665.0,9667.25,298.0,-7.757851596146281e-05
2019-11-15,9706.25,9709.5,9703.5,9707.75,2659.0,0.0041806512503441695
2019-11-18,9732.5,9733.25,9731.5,9732.0,256.0,0.002494889345657114
2019-11-19,9735.0,9735.5,9732.0,9732.0,342.0,0.0
2019-11-20,9685.75,9687.75,9684.5,9686.0,217.0,-0.004737880940238526
2019-11-21,9674.5,9676.5,9674.25,9676.25,435.0,-0.001007114444250945
2019-11-22,9645.5,9652.75,9643.25,9650.25,4106.0,-0.002690607785714505
2019-11-25,9774.25,9774.75,9772.75,9772.75,283.0,0.012614078596966394
2019-11-26,9802.25,9802.5,9798.0,9800.25,274.0,0.0028099952071904966
2019-11-27,9854.5,9856.5,9853.5,9854.25,633.0,0.005494938652674364
2019-11-28,9842.0,9843.25,9840.5,9842.25,349.0,-0.001218490745534595
2019-11-29,9833.0,9834.5,9830.5,9831.25,345.0,-0.0011182556379178976
2019-12-02,9707.5,9709.0,9707.0,9707.75,239.0,-0.0126415522488319
2019-12-03,9650.25,9653.25,9650.0,9653.25,339.0,-0.005629889360159623
2019-12-04,9694.5,9696.0,9694.0,9694.25,259.0,0.004238280023116658
2019-12-05,9707.75,9710.0,9707.0,9708.5,294.0,0.0014688642137947738
2019-12-06,9790.0,9791.25,9785.75,9786.0,2853.0,0.007951002414561259
2019-12-09,9745.75,9749.25,9744.75,9749.0,304.0,-0.0037880772197969037
2019-12-10,9765.0,9766.25,9764.5,9765.75,207.0,0.0017166506476744559
2019-12-11,9812.0,9812.0,9811.0,9811.25,9.0,0.004648320164076125
2019-12-12,9906.75,9906.75,9904.5,9904.5,163.0,0.009459512861713648
2019-12-13,9894.75,9895.5,9893.25,9894.25,137.0,-0.0010354189952153092
2019-12-15,9920.25,9920.25,9919.25,9920.0,57.0,0.0025991409713981284
2019-12-16,9984.25,9985.25,9982.75,9983.25,285.0,0.006355767316319927
2019-12-17,9977.0,9977.0,9976.0,9976.5,126.0,-0.0006763612026539079
2019-12-18,9988.75,9989.0,9988.25,9988.5,37.0,0.0012021038262020056
2019-12-19,10044.25,10044.75,10043.75,10043.75,120.0,0.005516119267035435
2019-12-20,10084.0,10085.0,10082.5,10083.25,238.0,0.0039250808080950605
2019-12-22,10093.0,10093.25,10093.0,10093.0,23.0,0.0009664829449409496
2019-12-23,10096.75,10097.0,10096.0,10096.0,35.0,0.00029719154213658783
2019-12-24,10103.0,10104.25,10101.0,10102.75,617.0,0.0006683582153605983
2019-12-25,10109.25,10109.25,10108.5,10109.25,64.0,0.0006431822901333817
2019-12-26,10200.75,10200.75,10199.25,10200.0,229.0,0.008936873985872396
2019-12-27,10153.0,10153.75,10151.25,10152.25,294.0,-0.004692364491825529
2019-12-29,10182.25,10182.5,10181.25,10181.75,131.0,0.0029015462473331866
2019-12-30,10120.5,10121.0,10120.25,10120.25,37.0,-0.0060585349342279216
2019-12-31,10142.75,10145.25,10141.75,10145.0,302.0,0.002442606166273009
2020-01-01,10161.75,10162.25,10160.0,10160.5,215.0,0.0015266802600830687
2020-01-02,10205.25,10205.5,10199.25,10202.0,727.0,0.00407612596287521
2020-01-03,10181.25,10185.25,10180.25,10184.75,227.0,-0.0016922760240571932
2020-01-05,10159.25,10159.5,10156.5,10158.25,349.0,-0.0026053202565492484
2020-01-06,10255.0,10256.5,10254.5,10256.25,208.0,0.009601092636135178
2020-01-07,10187.5,10189.25,10184.75,10186.25,381.0,-0.0068485042039725386
2020-01-08,10327.25,10327.25,10325.5,10326.0,161.0,0.013626214805166015
2020-01-09,10410.75,10410.75,10409.5,10410.75,134.0,0.008173939683732812
2020-01-10,10353.0,10354.5,10348.5,10351.25,255.0,-0.005731640775417546
2020-01-12,10383.25,10383.75,10383.0,10383.5,82.0,0.0031107224351227813
2020-01-13,10459.5,10460.75,10458.75,10459.5,170.0,0.007292648546142644
2020-01-14,10407.75,10411.0,10407.75,10411.0,167.0,-0.004647716854423223
2020-01-15,10446.0,10448.25,10446.0,10448.0,338.0,0.0035476330414603297
2020-01-16,10510.25,10510.25,10508.75,10509.0,200.0,0.005821460349384466
2020-01-17,10544.75,10545.5,10543.75,10544.75,312.0,0.0033960728477957502
2020-01-19,10552.75,10553.0,10552.5,10552.75,23.0,0.0007583837310995989
2020-01-20,10501.75,10501.75,10500.75,10501.75,109.0,-0.004844579519556191
2020-01-21,10602.75,10602.75,10600.25,10601.0,203.0,0.00940642634816058
2020-01-22,10566.75,10567.0,10563.75,10565.25,253.0,-0.003378022464570307
2020-01-23,10641.5,10641.75,10641.25,10641.75,57.0,0.007214630247005971
2020-01-24,10515.0,10515.75,10509.5,10509.75,676.0,-0.01248154633709575
2020-01-26,10406.5,10406.5,10403.75,10404.75,278.0,-0.010040965089492815
2020-01-27,10382.5,10385.75,10382.5,10383.0,400.0,-0.002092579325490007
2020-01-28,10511.25,10512.5,10511.0,10512.5,61.0,0.012395171977749087
2020-01-29,10430.25,10431.0,10428.0,10430.75,297.0,-0.007806850913823382
2020-01-30,10610.25,10612.25,10610.25,10610.5,94.0,0.01708590248372488
2020-01-31,10385.5,10388.25,10383.25,10386.25,498.0,-0.021361260871913146
2020-02-02,10440.25,10445.0,10439.5,10444.0,308.0,0.005544834839827928
2020-02-03,10549.5,10550.5,10547.5,10548.25,174.0,0.009932318548868224
2020-02-04,10717.25,10720.5,10717.25,10718.75,314.0,0.01603457498046268
2020-02-05,10812.25,10819.75,10811.75,10818.0,1265.0,0.009216869083022772
2020-02-06,10809.0,10810.75,10808.75,10809.5,139.0,-0.0007860363368532575
2020-02-07,10775.5,10776.25,10772.5,10773.5,276.0,-0.0033359619502313365
2020-02-09,10797.5,10797.5,10782.75,10785.75,1132.0,0.0011364032903102839
2020-02-10,10944.25,10946.25,10944.25,10945.75,197.0,0.014725434615055377
2020-02-11,10930.25,10931.0,10929.0,10930.75,257.0,-0.0013713347519654917
2020-02-12,10951.25,10953.0,10950.5,10952.75,318.0,0.0020106479687083123
2020-02-13,11021.75,11022.25,11021.0,11021.25,223.0,0.00623466113484028
2020-02-14,11007.5,11008.25,11003.25,11003.25,600.0,-0.0016345437133740148
2020-02-16,11043.5,11044.5,11042.25,11043.5,151.0,0.003651335885660245
2020-02-17,10949.75,10951.0,10948.0,10951.0,405.0,-0.00841124329776477
2020-02-18,11043.75,11044.0,11039.0,11039.75,949.0,0.008071619371390781
2020-02-19,11083.0,11085.0,11082.5,11085.0,650.0,0.004090447403262587
2020-02-20,10949.0,10953.75,10947.75,10951.5,547.0,-0.01211640988616125
2020-02-21,10828.0,10828.75,10826.25,10828.0,394.0,-0.011341061430059085
2020-02-23,10666.25,10675.0,10665.25,10675.0,1032.0,-0.014230812637366697
2020-02-24,10564.5,10566.0,10561.5,10563.5,244.0,-0.010499896356535032
2020-02-25,10298.0,10300.0,10292.25,10294.25,751.0,-0.025819175830649854
2020-02-26,10092.25,10092.25,10078.75,10080.5,1552.0,-0.020982622339873913
2020-02-27,9657.75,9664.75,9651.5,9661.0,775.0,-0.042505702052256567
2020-02-28,9933.25,9938.5,9914.25,9921.0,603.0,0.02655656013239316
2020-03-01,9855.25,9877.75,9852.5,9876.25,2462.0,-0.004520837612959738
2020-03-02,10161.75,10171.0,10160.5,10166.0,1041.0,0.02891593396990544
2020-03-03,10058.75,10066.0,10057.25,10062.75,776.0,-0.010208331868158282
2020-03-04,10201.25,10204.0,10196.25,10203.0,402.0,0.013841307536614167
2020-03-05,9921.25,9924.0,9914.75,9917.0,467.0,-0.028431338489179225
2020-03-06,9871.5,9881.25,9868.75,9874.75,510.0,-0.004269462192965534
2020-03-08,9466.25,9470.75,9466.25,9469.0,414.0,-0.041957689009660015
2020-03-09,9558.5,9561.75,9553.25,9556.5,566.0,0.009198246241153285
2020-03-10,9534.5,9548.25,9532.0,9543.0,372.0,-0.0014136498073984427
2020-03-11,9454.75,9454.75,9445.0,9450.5,6.0,-0.009740251276243228
2020-03-12,8564.75,8596.25,8551.25,8594.25,257.0,-0.0949742751663436
2020-03-13,8730.5,8814.0,8726.75,8776.25,4623.0,0.020955834356790604
2020-03-15,8923.5,8923.5,8923.5,8923.5,4.0,0.01663903696461233
2020-03-16,8486.75,8515.25,8444.0,8466.0,1091.0,-0.052630104215200646
2020-03-17,8648.75,8667.25,8634.5,8663.25,525.0,0.023031798756029787
2020-03-18,8614.25,8673.5,8595.25,8658.0,1770.0,-0.0006061918349740125
2020-03-19,8539.5,8567.0,8533.25,8559.25,535.0,-0.011471179527145381
2020-03-20,8682.25,8717.0,8680.75,8689.75,3720.0,0.01513160067117525
2020-03-22,8011.25,8011.25,8011.25,8011.25,15.0,-0.08129736632751872
2020-03-23,8464.75,8476.75,8458.25,8466.25,140.0,0.055240867710676156
2020-03-24,8984.75,8991.0,8968.5,8986.25,388.0,0.059607959768968044
2020-03-25,8869.5,8877.25,8863.75,8866.75,230.0,-0.013387305744325673
2020-03-26,9217.0,9220.5,9208.5,9210.0,213.0,0.03798152469559746
2020-03-27,9013.25,9014.25,8982.0,8984.5,4101.0,-0.02478897988284423
2020-03-30,9234.75,9247.0,9229.5,9235.75,218.0,0.027580952746729892
2020-03-31,9165.25,9167.0,9160.5,9164.25,477.0,-0.00777177824849673
2020-04-01,8843.25,8850.0,8842.5,8846.0,230.0,-0.03534466543646886
2020-04-02,9011.25,9016.5,9003.5,9004.5,359.0,0.017759072931735176
2020-04-03,8919.75,8938.0,8915.5,8931.5,3303.0,-0.008140098471068669
2020-04-06,9413.75,9422.25,9412.5,9418.25,250.0,0.05306494247624549
2020-04-07,9382.75,9386.0,9379.25,9380.5,160.0,-0.0040162298815200614
2020-04-08,9576.0,9584.25,9574.75,9584.25,327.0,0.021488059673258064
2020-04-09,9587.0,9620.75,9586.5,9609.5,4703.0,0.0026310663175372895
2020-04-13,9716.75,9721.25,9714.5,9720.5,483.0,0.01148486498623491
2020-04-14,10082.5,10087.0,10080.25,10085.75,462.0,0.03688647903554276
2020-04-15,9956.75,9959.0,9955.25,9959.0,161.0,-0.012646871564598428
2020-04-16,10206.75,10221.25,10201.5,10221.0,1281.0,0.025967762397437255
2020-04-17,10148.0,10157.25,10141.5,10149.0,4832.0,-0.007069248880258172
2020-04-20,10100.0,10100.25,10094.25,10095.75,234.0,-0.005260635256506774
2020-04-21,9814.0,9820.5,9807.0,9817.5,312.0,-0.027948035740147148
2020-04-22,10017.25,10019.0,10014.75,10015.75,242.0,0.019992346512310633
2020-04-23,9987.25,9990.5,9982.75,9983.25,268.0,-0.0032501653692360577
2020-04-24,10028.5,10031.75,10014.0,10021.25,3264.0,0.0037991497619227488
2020-04-27,10204.0,10205.5,10199.5,10200.75,172.0,0.01775340862381114
2020-04-28,10084.75,10090.25,10079.25,10081.25,370.0,-0.011783984107454515
2020-04-29,10487.25,10501.25,10484.75,10500.75,774.0,0.040769420292626535
2020-04-30,10252.5,10256.5,10245.75,10252.25,488.0,-0.02394948949374509
2020-05-01,10208.25,10229.25,10206.0,10210.75,4221.0,-0.004056106816840099
2020-05-04,10190.25,10193.5,10189.75,10191.5,206.0,-0.0018870473317740277
2020-05-05,10307.25,10316.25,10306.25,10315.25,320.0,0.01206934323658082
2020-05-06,10339.0,10339.5,10327.75,10328.75,280.0,0.001307886255027313
2020-05-07,10501.0,10502.0,10500.0,10500.75,186.0,0.016515414150751084
2020-05-08,10554.0,10559.25,10544.75,10555.0,3007.0,0.005152998116276564
2020-05-11,10665.25,10665.75,10661.75,10663.25,346.0,0.010203569020326597
2020-05-12,10427.25,10431.25,10423.75,10425.75,793.0,-0.022524542777436096
2020-05-13,10392.25,10396.75,10392.0,10395.25,252.0,-0.0029297364983467133
2020-05-14,10471.5,10472.25,10466.5,10471.0,299.0,0.007260560260496263
2020-05-15,10360.25,10365.25,10349.25,10356.5,4646.0,-0.010995189391884708
2020-05-18,10707.75,10712.25,10699.5,10699.5,310.0,0.03258266949062616
2020-05-19,10675.75,10682.5,10675.5,10679.5,290.0,-0.0018709954473443702
2020-05-20,10876.25,10880.5,10875.0,10876.5,360.0,0.018278482540898366
2020-05-21,10744.0,10744.75,10739.0,10741.75,214.0,-0.012466480418670045
2020-05-22,10743.5,10743.75,10728.0,10730.5,3279.0,-0.0010478641995508298
2020-05-25,10910.25,10913.0,10908.5,10913.0,204.0,0.016864585251553876
2020-05-26,10788.0,10795.5,10787.75,10795.5,272.0,-0.010825358497122295
2020-05-27,10823.5,10824.5,10820.75,10824.25,356.0,0.00265960678980548
2020-05-28,10848.5,10848.75,10840.75,10841.0,346.0,0.0015462552555192133
2020-05-29,10773.0,10800.75,10772.0,10792.5,5824.0,-0.004483794231660454
2020-06-01,10979.75,10980.25,10975.0,10975.0,232.0,0.01676851051374051
2020-06-02,11043.0,11044.0,11040.0,11040.0,400.0,0.005905081887714658
2020-06-03,11070.5,11073.75,11069.5,11073.0,304.0,0.0029846718670203387
2020-06-04,11026.75,11029.0,11025.5,11027.0,234.0,-0.00416290193942892
2020-06-05,11150.25,11164.25,11149.5,11160.0,3580.0,0.011989146176622612
2020-06-08,11268.5,11268.75,11263.75,11265.75,221.0,0.009431192610971806
2020-06-09,11340.25,11344.25,11337.75,11344.25,255.0,0.006943858064605735
2020-06-10,11442.75,11442.75,11439.5,11439.5,2.0,0.008361271074056376
2020-06-11,11030.25,11032.75,11025.5,11028.75,85.0,-0.03656677914861994
2020-06-12,11082.5,11106.0,11076.5,11103.75,3958.0,0.006777389547595547
2020-06-14,10963.25,10967.5,10959.25,10962.75,173.0,-0.01277972664639826
2020-06-15,11194.5,11209.25,11193.25,11202.5,193.0,0.021633805222785796
2020-06-16,11347.75,11356.5,11347.25,11356.25,151.0,0.013631285484182243
2020-06-17,11390.25,11393.75,11388.0,11390.5,79.0,0.0030114214895284874
2020-06-18,11405.25,11406.0,11401.0,11402.5,111.0,0.001052954951846985
2020-06-19,11462.75,11462.75,11449.5,11451.5,3179.0,0.0042880961830196185
2020-06-21,11278.5,11287.25,11272.75,11284.0,388.0,-0.014734932646987886
2020-06-22,11543.0,11546.0,11540.5,11543.25,343.0,0.022715057406285766
2020-06-23,11592.0,11594.5,11585.75,11587.0,236.0,0.003782929468888696
2020-06-24,11405.5,11407.5,11394.0,11397.0,184.0,-0.016533617141327284
2020-06-25,11491.75,11499.5,11491.75,11498.25,98.0,0.008844687002937945
2020-06-26,11359.0,11379.5,11356.0,11368.5,4246.0,-0.011348476938479735
2020-06-28,11218.0,11234.5,11218.0,11228.0,477.0,-0.01243571443841951
