# Position (m),Temperature (C),Heat_Flux (W/m2)
8.499999999999999778e-01,3.959647679036316390e+02,1.252724624667334137e+05
8.549999999999999822e-01,3.834369709333133756e+02,1.252825880303438898e+05
8.599999999999999867e-01,3.709082502975628586e+02,1.252910695938339777e+05
8.649999999999999911e-01,3.583787570145465793e+02,1.252981563731574861e+05
8.699999999999999956e-01,3.458486190229313593e+02,1.253040629816010041e+05
8.750000000000000000e-01,3.333179444182263751e+02,1.253089736853431095e+05
8.800000000000000044e-01,3.207868242858627355e+02,1.253130462272918085e+05
8.850000000000000089e-01,3.082553351727680138e+02,1.253164152479769255e+05
8.900000000000000133e-01,2.957235412362673515e+02,1.253191953329303506e+05
8.950000000000000178e-01,2.831914961061819440e+02,1.253214837160476309e+05
9.000000000000000222e-01,2.706592444930578267e+02,1.253233626680247398e+05
9.050000000000000266e-01,2.581268235725769955e+02,1.253249015981557895e+05
9.100000000000000311e-01,2.455942641734266658e+02,1.253261588966692943e+05
9.150000000000000355e-01,2.330615917932431387e+02,1.253271835434443783e+05
9.200000000000000400e-01,2.205288274647377875e+02,1.253280165074376273e+05
9.250000000000000444e-01,2.079959884917556110e+02,1.253286919595348008e+05
9.300000000000000488e-01,1.954630890728308259e+02,1.253292383198603784e+05
9.350000000000000533e-01,1.829301408277835321e+02,1.253296791588822089e+05
9.400000000000000577e-01,1.703971532410543830e+02,1.253300339699659089e+05
9.450000000000000622e-01,1.578641340337903500e+02,1.253303188293946732e+05
9.500000000000000666e-01,1.453310894751754461e+02,1.253305469582873920e+05
9.550000000000000711e-01,1.327980246421328729e+02,1.253307291993580584e+05
9.599999999999999645e-01,1.202649436353038368e+02,1.253308744200478541e+05
9.649999999999999689e-01,1.077318497581233032e+02,1.253309898522557196e+05
9.699999999999999734e-01,9.519874566485269440e+01,1.253310813776861614e+05
9.749999999999999778e-01,8.266563348258607391e+01,1.253311537667277444e+05
9.799999999999999822e-01,7.013251491150714401e+01,1.253312108777775138e+05
9.849999999999999867e-01,5.759939130703057231e+01,1.253312558230199502e+05
9.899999999999999911e-01,4.506626374690315373e+01,1.253312911058635509e+05
9.949999999999999956e-01,3.253313308585786245e+01,1.253313187345157785e+05
1.000000000000000000e+00,2.000000000000000000e+01,1.253313308585786144e+05
